DATE,BABATOTALNSANJ
2004/7/1,5804
2004/8/1,6341
2004/9/1,5865
2004/10/1,7623
2004/11/1,6574
2004/12/1,6617
2005/1/1,5948
2005/2/1,7461
2005/3/1,9331
2005/4/1,7138
2005/5/1,7701
2005/6/1,8421
2005/7/1,6082
2005/8/1,6089
2005/9/1,7269
2005/10/1,7210
2005/11/1,8205
2005/12/1,6378
2006/1/1,6569
2006/2/1,8319
2006/3/1,10193
2006/4/1,7672
2006/5/1,9589
2006/6/1,6701
2006/7/1,5802
2006/8/1,8357
2006/9/1,6263
2006/10/1,6574
2006/11/1,7618
2006/12/1,6840
2007/1/1,6552
2007/2/1,7953
2007/3/1,10350
2007/4/1,7705
2007/5/1,7892
2007/6/1,8793
2007/7/1,6556
2007/8/1,8589
2007/9/1,6660
2007/10/1,7171
2007/11/1,7937
2007/12/1,6451
2008/1/1,6449
2008/2/1,9499
2008/3/1,8152
2008/4/1,7946
2008/5/1,9478
2008/6/1,6499
2008/7/1,7995
2008/8/1,7032
2008/9/1,6327
2008/10/1,7904
2008/11/1,6034
2008/12/1,6099
2009/1/1,6279
2009/2/1,6736
2009/3/1,7348
2009/4/1,8837
2009/5/1,7124
2009/6/1,6401
2009/7/1,7640
2009/8/1,6103
2009/9/1,7561
2009/10/1,6185
2009/11/1,6286
2009/12/1,6775
2010/1/1,6510
2010/2/1,7229
2010/3/1,7445
2010/4/1,9338
2010/5/1,7497
2010/6/1,6554
2010/7/1,7541
2010/8/1,6298
2010/9/1,7877
2010/10/1,6605
2010/11/1,6653
2010/12/1,6815
2011/1/1,6952
2011/2/1,7970
2011/3/1,8449
2011/4/1,9840
2011/5/1,6647
2011/6/1,7051
2011/7/1,8380
2011/8/1,6564
2011/9/1,7431
2011/10/1,6438
2011/11/1,6287
2011/12/1,7526
2012/1/1,6556
2012/2/1,7880
2012/3/1,10383
2012/4/1,7760
2012/5/1,7460
2012/6/1,8345
2012/7/1,6089
2012/8/1,8172
2012/9/1,5916
2012/10/1,6361
2012/11/1,6329
2012/12/1,7483
2013/1/1,9654
2013/2/1,8038
2013/3/1,8465
2013/4/1,7470
2013/5/1,8687
2013/6/1,7225
2013/7/1,8092
2013/8/1,6875
2013/9/1,6219
2013/10/1,8664
2013/11/1,6253
2013/12/1,5567
2014/1/1,8460
2014/2/1,7436
2014/3/1,8575
2014/4/1,7537
2014/5/1,8951
2014/6/1,6814
2014/7/1,8045
2014/8/1,6682
2014/9/1,6596
2014/10/1,8443
2014/11/1,6156
2014/12/1,6060
2015/1/1,8191
2015/2/1,7680
2015/3/1,8060
2015/4/1,9684
2015/5/1,7058
2015/6/1,7231
2015/7/1,8369
2015/8/1,7021
2015/9/1,8816
2015/10/1,6966
2015/11/1,6510
2015/12/1,6623
2016/1/1,8444
2016/2/1,8148
2016/3/1,10394
2016/4/1,8003
2016/5/1,7804
2016/6/1,7962
2016/7/1,7304
2016/8/1,8845
2016/9/1,6968
2016/10/1,6906
2016/11/1,8292
2016/12/1,5968
2017/1/1,8699
2017/2/1,8679
2017/3/1,11190
2017/4/1,8336
2017/5/1,10127
2017/6/1,8009
2017/7/1,7330
2017/8/1,9577
2017/9/1,7452
2017/10/1,7493
2017/11/1,8803
2017/12/1,5895
2018/1/1,9561
2018/2/1,9266
2018/3/1,11927
2018/4/1,9013
2018/5/1,11021
2018/6/1,8642
2018/7/1,7779
2018/8/1,10401
2018/9/1,8203
2018/10/1,7987
2018/11/1,8952
2018/12/1,6710
2019/1/1,11066
2019/2/1,9996
2019/3/1,10362
2019/4/1,9583
2019/5/1,11146
2019/6/1,8882
2019/7/1,7722
2019/8/1,10505
2019/9/1,8253
2019/10/1,10335
2019/11/1,7668
2019/12/1,6869
2020/1/1,11814
2020/2/1,10095
2020/3/1,8439
2020/4/1,8083
2020/5/1,8613
2020/6/1,10741
2020/7/1,16917
2020/8/1,13377
2020/9/1,14885
2020/10/1,11043
2020/11/1,10214
2020/12/1,10082
2021/1/1,16205
2021/2/1,13317
2021/3/1,18563
2021/4/1,14360
2021/5/1,13538
2021/6/1,14726
2021/7/1,11217
2021/8/1,11577
2021/9/1,14273
2021/10/1,11930
2021/11/1,11066
2021/12/1,12026
2022/1/1,14297
2022/2/1,13769
2022/3/1,17952
2022/4/1,13409
2022/5/1,12137
2022/6/1,13532
2022/7/1,10738
2022/8/1,14087
2022/9/1,11049
